job,seed,policy,bins,unplaced,utilisation,runtimeMs,nfpMs,scoreLoopsMs,apiMs
hard-15,2,ga,4,0,0.4661535448434623,2160.6338509999914,2088.1635690000257,3.0589129999279976,0
hard-15,3,classic,4,0,0.4661535448434623,2020.6539659999544,1953.5239019999863,2.2748399997944944,0
hard-15,3,contact,4,0,0.4661535448434623,2083.0587759999908,1997.1145489999908,4.591377999924589,0
hard-15,3,ga,4,0,0.4661535448434623,2114.082990999974,2021.299878000049,2.915736999711953,0
hard-15,4,classic,4,0,0.4661535448434623,2239.482471000054,2174.325864000013,2.8124049998586997,0
hard-15,4,contact,4,0,0.4661535448434623,2133.113214999961,2047.6911970000365,6.355903999763541,0
hard-15,4,ga,4,0,0.4661535448434623,2157.5267069999827,2084.53158000001,2.3127609999501146,0
hard-15,5,classic,4,0,0.4661535448434623,2065.5269669999834,1998.3314770000288,2.5491699999547563,0
hard-15,5,contact,4,0,0.4661535448434623,2068.6777870000224,1987.2625239999616,4.098509000032209,0
hard-15,5,ga,4,0,0.4661535448434623,2102.039854999981,2033.2982160000247,2.196327999990899,0
hard-16,1,classic,4,0,0.5216393442622951,572.8597990000271,515.1028599999845,2.9811369999079034,0
hard-16,1,contact,4,0,0.5216393442622951,644.3661790000042,567.5050899999915,4.461785999999847,0
hard-16,1,ga,4,0,0.5216393442622951,2029.472483999969,1775.7060839999467,5.550912999664433,0
hard-16,2,classic,4,0,0.5216393442622951,570.6922289999784,520.3849240000127,2.6334909999277443,0
hard-16,2,contact,4,0,0.5216393442622951,591.1465029999963,518.8455079999985,4.519826000032481,0
hard-16,2,ga,4,0,0.5216393442622951,2124.2458869999973,1875.3691169999656,5.853575000015553,0
hard-16,3,classic,4,0,0.5216393442622951,590.2412069999846,538.4223859999911,2.6840699998429045,0
hard-16,3,contact,4,0,0.5216393442622951,596.089329999988,530.2428650000365,4.235917999816593,0
hard-16,3,ga,4,0,0.5216393442622951,2364.2950910000363,2093.0254829999176,6.5643690000870265,0
hard-16,4,classic,4,0,0.5216393442622951,604.6209670000244,553.0433740000008,2.6000520002562553,0
hard-16,4,contact,4,0,0.5216393442622951,584.3679589999956,509.9660460000159,4.829186000220943,0
hard-16,4,ga,4,0,0.5216393442622951,2176.8251240000245,1948.957783000078,8.382507999893278,0
hard-16,5,classic,4,0,0.5216393442622951,594.7518290000153,537.5929699999979,2.371167999925092,0
hard-16,5,contact,4,0,0.5216393442622951,626.812413000036,550.1052619999973,4.828296999854501,0
hard-16,5,ga,4,0,0.5216393442622951,2062.590981000045,1813.5226580000017,6.493698000442237,0
hard-17,1,classic,3,0,0.4674459639876543,683.4540399999823,657.2391419999767,0.9347349999588914,0
hard-17,1,contact,3,0,0.4674459639876543,699.3763270000345,668.1166490000323,1.7648160000680946,0
hard-17,1,ga,3,0,0.4674459639876543,2298.0420469999663,2142.8195059999125,4.400119000056293,0
hard-17,2,classic,3,0,0.4674459639876543,720.6029039999703,695.8582520000055,1.1696590000065044,0
